Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1778739766,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1778739767,1,,Aggregated,0.000000,0.000000,67,72,72,73,74,79,79,79,79,79,79,14,0,67,66.65107242861268,35.22020400123438,79.08052899983886,48.0
1778739768,2,,Aggregated,0.000000,0.000000,69,72,73,75,81,84,87,87,87,87,87,42,0,68,69.41122469050329,35.119403999487986,86.9223099998635,48.0
1778739769,3,,Aggregated,2.000000,0.000000,70,73,78,80,86,95,120,130,130,130,130,81,0,70,73.42077049381462,35.119403999487986,127.91584300066461,48.0
1778739770,4,,Aggregated,9.000000,0.000000,69,72,78,81,92,110,120,120,130,130,130,148,47,69,66.97708881081878,25.599994998628972,127.91584300066461,48.317567567567565
1778739771,5,,Aggregated,16.000000,0.000000,66,70,73,75,88,100,120,120,130,130,130,231,130,66,64.25172895243433,25.599994998628972,127.91584300066461,48.56277056277056
1778739772,5,,Aggregated,21.250000,0.000000,66,71,75,79,89,99,110,120,130,130,130,302,201,66,65.81383035434507,25.599994998628972,127.91584300066461,48.66556291390729
1778739773,5,,Aggregated,31.800000,11.600000,66,70,74,78,88,97,110,120,130,130,130,380,279,66,65.32097391842686,25.599994998628972,127.91584300066461,48.73421052631579
1778739774,5,,Aggregated,40.166667,23.333333,66,70,75,79,87,95,110,120,130,130,130,453,352,66,65.63943649447533,25.599994998628972,127.91584300066461,48.77704194260485
1778739775,5,,Aggregated,44.428571,30.000000,64,69,73,78,86,93,110,110,130,130,130,537,436,64,64.80436839477755,25.599994998628972,127.91584300066461,48.811918063314714
1778739776,5,,Aggregated,48.500000,35.875000,63,69,73,76,85,92,100,110,130,130,130,619,518,63,64.07829255250262,25.599994998628972,127.91584300066461,48.83683360258481
1778739777,5,,Aggregated,51.555556,40.333333,63,69,73,75,84,92,100,110,130,130,130,699,598,63,63.959835397699095,25.599994998628972,127.91584300066461,48.855507868383405
1778739778,5,,Aggregated,54.700000,44.600000,63,69,73,75,84,92,100,110,130,130,130,774,673,63,64.20343494443233,25.599994998628972,127.91584300066461,48.86950904392765
1778739779,5,,Aggregated,62.500000,52.600000,63,69,73,75,84,91,100,110,130,130,130,851,750,63,64.19406099998265,25.599994998628972,127.91584300066461,48.8813160987074
1778739780,5,,Aggregated,69.000000,60.700000,63,70,73,76,85,92,110,120,230,230,230,914,813,63,65.32424892230631,25.599994998628972,233.6091960005433,48.88949671772429
1778739781,5,,Aggregated,73.300000,68.000000,64,70,74,78,88,97,120,200,270,270,270,961,860,64,67.10679318729055,25.599994998628972,265.62207200004195,48.894901144641
1778739782,5,,Aggregated,77.600000,76.000000,64,70,75,79,91,110,200,240,500,500,500,993,892,64,70.21436632526901,25.599994998628972,502.85424800131295,48.89828801611279
1778739783,5,,Aggregated,76.600000,76.600000,64,70,75,78,90,110,180,230,360,500,500,1072,971,64,69.65764900652759,25.599994998628972,502.85424800131295,48.905783582089555
1778739784,5,,Aggregated,72.100000,72.100000,64,70,75,79,90,100,180,230,360,500,500,1143,1042,64,69.64456929658479,25.599994998628972,502.85424800131295,48.91163604549431
