Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1778738956,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1778738957,10,,Aggregated,0.000000,0.000000,120,130,130,140,150,170,180,190,190,190,190,76,76,120,116.62545924996505,57.345023000380024,190.71706400063704,49.0
1778738958,20,,Aggregated,0.000000,0.000000,160,190,230,250,270,280,300,310,310,310,310,163,163,160,171.5940686318262,57.345023000380024,313.87881900081993,49.0
1778738959,30,,Aggregated,10.000000,10.000000,220,260,280,290,330,350,420,430,450,450,450,249,249,220,214.03630528909554,57.345023000380024,452.97595899864973,49.0
1778738960,40,,Aggregated,43.500000,43.500000,260,290,310,330,370,430,460,490,1500,1500,1500,352,352,260,257.5462284374391,57.345023000380024,1516.650198998832,49.0
1778738961,50,,Aggregated,56.333333,56.333333,280,310,340,350,390,420,470,490,1600,1600,1600,443,443,280,277.3140519638184,57.345023000380024,1641.0732200001803,49.0
1778738962,50,,Aggregated,64.750000,64.750000,290,340,360,370,430,490,1500,1500,2400,2400,2400,541,541,290,332.8841730924005,57.345023000380024,2352.029969000796,49.0
1778738963,50,,Aggregated,71.400000,71.400000,310,350,380,390,450,500,1500,1500,2400,2400,2400,626,626,310,352.388127153318,57.345023000380024,2352.029969000796,49.0
1778738964,50,,Aggregated,76.166667,76.166667,320,360,380,400,460,1400,1500,1500,2400,2400,2400,736,736,320,376.9802424116369,57.345023000380024,2352.029969000796,49.0
1778738965,50,,Aggregated,79.428571,79.428571,320,360,380,400,470,1400,1500,1600,2600,2600,2600,831,831,320,392.3031136822623,57.345023000380024,2618.7553750005463,49.0
1778738966,50,,Aggregated,82.250000,82.250000,320,360,380,400,480,1400,1500,1700,2600,2600,2600,929,929,320,404.7904284552856,57.345023000380024,2618.7553750005463,49.0
1778738967,50,,Aggregated,84.000000,84.000000,320,370,390,410,530,1400,1500,1700,2600,2600,2600,1020,1020,320,419.18670321760914,57.345023000380024,2618.7553750005463,49.0
1778738968,50,,Aggregated,84.200000,84.200000,330,370,390,410,540,1400,1500,1700,2600,2600,2600,1124,1124,330,424.536404824703,57.345023000380024,2618.7553750005463,49.0
1778738969,50,,Aggregated,92.500000,92.500000,340,370,400,420,1200,1400,1500,1700,2600,2600,2600,1227,1227,340,437.24032371144926,57.345023000380024,2618.7553750005463,49.0
1778738970,50,,Aggregated,95.400000,95.400000,340,380,410,430,590,1400,1500,1600,2600,2600,2600,1318,1318,340,436.8410421099742,57.345023000380024,2618.7553750005463,49.0
1778738971,50,,Aggregated,96.400000,96.400000,340,380,410,440,1200,1400,1500,1700,2600,2600,2600,1426,1426,340,443.94615771314216,57.345023000380024,2618.7553750005463,49.0
1778738972,50,,Aggregated,98.400000,98.400000,340,380,410,440,1300,1400,1500,1700,2600,2600,2600,1517,1517,340,444.9688178483454,57.345023000380024,2618.7553750005463,49.0
1778738973,50,,Aggregated,97.200000,97.200000,350,390,420,440,1300,1400,1500,1700,2600,2600,2600,1621,1621,350,451.36464500675777,57.345023000380024,2618.7553750005463,49.0
1778738974,50,,Aggregated,97.800000,97.800000,350,380,420,440,1300,1400,1500,1700,2600,2600,2600,1713,1713,350,451.276497053104,57.345023000380024,2618.7553750005463,49.0
1778738975,50,,Aggregated,97.000000,97.000000,350,390,420,450,1300,1400,1500,1700,2600,2600,2600,1817,1817,350,459.79764081450975,57.345023000380024,2618.7553750005463,49.0
1778738976,50,,Aggregated,97.000000,97.000000,350,390,420,460,1300,1400,1600,1700,2600,2600,2600,1910,1910,350,463.55338602354715,57.345023000380024,2618.7553750005463,49.0
1778738977,50,,Aggregated,97.900000,97.900000,340,380,420,450,1300,1400,1600,1700,2400,2600,2600,2010,2010,340,458.6482961542156,57.345023000380024,2618.7553750005463,49.0
1778738978,50,,Aggregated,98.200000,98.200000,340,380,420,450,1300,1500,1600,1700,2400,2600,2600,2112,2112,340,461.54545294174505,57.345023000380024,2618.7553750005463,49.0
1778738979,50,,Aggregated,98.700000,98.700000,340,380,420,450,1300,1500,1600,1700,2400,2600,2600,2198,2198,340,466.48099034393704,57.345023000380024,2618.7553750005463,49.0
1778738980,50,,Aggregated,97.900000,97.900000,340,380,420,450,1300,1500,1600,1700,2400,2600,2600,2301,2301,340,467.96503086569874,57.345023000380024,2618.7553750005463,49.0
1778738981,50,,Aggregated,98.700000,98.700000,340,380,420,450,1300,1500,1600,1700,2400,2600,2600,2404,2404,340,470.3617576518208,57.345023000380024,2618.7553750005463,49.0
