Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1778737526,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1778737527,10,,Aggregated,0.000000,0.000000,130,140,150,150,160,170,170,180,180,180,180,69,69,130,130.61758050713726,77.03913699879195,178.48399200011045,49.0
1778737528,20,,Aggregated,0.000000,0.000000,160,190,220,230,250,270,290,300,310,310,310,161,161,160,175.9370084347092,77.03913699879195,313.7790229993698,49.0
1778737529,30,,Aggregated,66.000000,66.000000,220,260,280,300,320,340,360,380,390,390,390,252,252,220,217.44524188888033,77.03913699879195,387.64717699996254,49.0
1778737530,40,,Aggregated,75.000000,75.000000,240,280,300,310,330,370,380,390,390,390,390,341,341,240,235.0629740644883,77.03913699879195,388.3246189998317,49.0
1778737531,50,,Aggregated,81.666667,81.666667,260,300,320,340,380,420,440,1400,1500,1500,1500,440,440,260,273.22451886583707,77.03913699879195,1458.6463930008904,49.0
1778737532,50,,Aggregated,84.000000,84.000000,280,310,340,360,400,470,1600,2300,2600,2600,2600,544,544,280,332.3677827977429,77.03913699879195,2592.560572000366,49.0
1778737533,50,,Aggregated,86.600000,86.600000,290,330,360,370,430,1400,1600,1800,2600,2600,2600,637,637,290,360.8993170046731,77.03913699879195,2592.560572000366,49.0
1778737534,50,,Aggregated,89.333333,89.333333,300,330,360,380,430,1400,1600,1800,2600,2600,2600,735,735,300,369.6211022489435,77.03913699879195,2592.560572000366,49.0
1778737535,50,,Aggregated,89.857143,89.857143,300,340,360,370,430,1400,1600,1800,2600,2600,2600,823,823,300,369.46706267189967,77.03913699879195,2592.560572000366,49.0
1778737536,50,,Aggregated,90.875000,90.875000,300,340,370,380,450,1400,1800,2500,2600,2600,2600,933,933,300,401.9238548938492,77.03913699879195,2637.9333999993833,49.0
1778737537,50,,Aggregated,90.888889,90.888889,310,350,370,390,470,1400,1700,2500,2600,2600,2600,1030,1030,310,413.90272811743347,77.03913699879195,2637.9333999993833,49.0
1778737538,50,,Aggregated,92.700000,92.700000,310,350,380,400,490,1500,1800,2400,2600,2600,2600,1120,1120,310,423.2218886365625,77.03913699879195,2637.9333999993833,49.0
1778737539,50,,Aggregated,96.000000,96.000000,320,360,390,410,510,1500,1700,2400,2600,2600,2600,1224,1224,320,431.77447614049,77.03913699879195,2637.9333999993833,49.0
1778737540,50,,Aggregated,96.700000,96.700000,320,370,400,420,520,1500,1700,2400,2600,2600,2600,1326,1326,320,436.4846579396513,77.03913699879195,2637.9333999993833,49.0
1778737541,50,,Aggregated,96.900000,96.900000,330,380,410,430,570,1500,1700,2400,2600,2600,2600,1421,1421,330,445.19923753622214,77.03913699879195,2637.9333999993833,49.0
1778737542,50,,Aggregated,98.400000,98.400000,330,380,410,430,1300,1500,1700,2400,2600,2600,2600,1526,1526,330,446.0317210733754,77.03913699879195,2637.9333999993833,49.0
1778737543,50,,Aggregated,98.000000,98.000000,330,380,410,440,1300,1500,1600,2400,2600,2600,2600,1622,1622,330,452.21598903080934,77.03913699879195,2637.9333999993833,49.0
1778737544,50,,Aggregated,97.200000,97.200000,340,380,420,440,1300,1500,1600,2400,2600,2600,2600,1726,1726,340,455.67507649940404,77.03913699879195,2637.9333999993833,49.0
1778737545,50,,Aggregated,98.400000,98.400000,340,390,420,440,1300,1500,1600,2300,2600,2600,2600,1812,1812,340,456.85347396687257,77.03913699879195,2637.9333999993833,49.0
1778737546,50,,Aggregated,98.300000,98.300000,340,390,420,450,1300,1500,1600,2300,2600,2600,2600,1915,1915,340,461.9741366882359,77.03913699879195,2637.9333999993833,49.0
1778737547,50,,Aggregated,98.800000,98.800000,340,390,420,450,1300,1500,1600,1800,2600,2600,2600,2017,2017,340,458.989616587985,77.03913699879195,2637.9333999993833,49.0
1778737548,50,,Aggregated,98.100000,98.100000,340,390,420,450,1300,1500,1600,1800,2600,2600,2600,2113,2113,340,461.52284579174477,77.03913699879195,2637.9333999993833,49.0
1778737549,50,,Aggregated,97.000000,97.000000,340,380,420,450,1300,1500,1600,1800,2600,2600,2600,2206,2206,340,462.14966422074394,77.03913699879195,2637.9333999993833,49.0
1778737550,50,,Aggregated,97.800000,97.800000,340,390,420,450,1300,1500,1700,2400,2600,2600,2600,2306,2306,340,470.4701552155053,77.03913699879195,2637.9333999993833,49.0
1778737551,50,,Aggregated,98.000000,98.000000,340,390,420,450,1300,1500,1700,2400,2600,2600,2600,2404,2404,340,470.06141591845306,77.03913699879195,2637.9333999993833,49.0
